,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
110,BOEING,"El Segundo, CA 90245","Skilled scientists and thinkers. Attitude Control Subsystem (ACS), Autonomy System (AS), Command and Data Handling Subsystem (C&DH) and Mission Systems...",Flight Systems Engineer,"Estimated salary: $95,000 - $122,000 a year",60000.0
111,Ipsy,"San Mateo, CA","You would lead a team of machine learning engineers in developing custom machine learning models from our comprehensive data sets, and guiding how those models...",Lead Machine Learning Engineer,,60000.0
112,Walmart eCommerce,"San Bruno, CA 94066","Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and...","Manager, Partner Operations",,60000.0
113,Exelixis Inc.,"South San Francisco, CA 94080","Establishing standards for clinical data collection, management and/or reporting of data. May partner with biostatisticians and clinical data management staff...",Senior Statistical Programmer I,,60000.0
114,MSD,"South San Francisco, CA",Develop and utilize innovative synthetic and medicinal chemistry problem solving skills coupled with analysis of diverse data sets to build structure-activity...,"Senior Scientist, Chemistry",,60000.0
115,Capgemini,"Burbank, CA",Experience building scalable data pipelines and with data engineering/ feature engineering. 10+ years professional work experience as a data scientist or on...,Media & Entertainment Analytics Sector Lead,,60000.0
116,MSD,"South San Francisco, CA","Good track records in the successful development and implementation of biochemical and biophysical assays for compound screening, complex data analysis, and...",Associate Principal Scientist - Protein Biochemistry/Biophysics/Enzymology,,60000.0
117,Gilead Sciences,"Foster City, CA","Works collaboratively with Biomarker Scientists, Clinicians, Bioinformatics Scientists, Clinical Biostatisticians, Statistical Programmers, Clinical Data...",Senior Biostatistician,,60000.0
118,Codexis,"Redwood City, CA 94063","Proper record keeping and data analysis. At Codexis, we are creating sustainable chemicals, pharmaceutical processes, and renewable ingredients that make...","Scientist, Process Chemistry & Chemical Development",,60000.0
119,Accenture,"San Diego, CA","The Data Scientist. Data Scientist Associate Principal. Are expected to collaborate with other data scientists, subject matter experts,....",Data Scientist Associate Principal,,60000.0
120,Lumity Inc,"San Mateo, CA 94401 (North Central area)","Collaborating with data science to publish unique stories and data insights. We're looking to bring together an amazing team of tech professionals, data...",PR/Content Marketing Manager,"$80,000 - $100,000 a year",60000.0
121,Waters Corporation,California,Minimum of 3 years work experience specializing in mass spectrometry and data analysis in a laboratory environment highly preferred....,MS Field Applications Specialist,,60000.0
122,Kern Medical,"Bakersfield, CA",Clinical Laboratory Scientist I/II. Inputs and maintains clinical laboratory data. Inputs and maintains clinical laboratory data using....,Clinical Laboratory Scientist (Technologist) - Per Diem,$46.46 an hour,60000.0
123,BOEING,"Seal Beach, CA 90740","Applies extensive job practices, techniques, standards, principles, theories and concepts to the design and development of systems (e.g., data warehouse, data...",Mid Career Computing Architect,,60000.0
124,Jobspring Partners,"San Jose, CA 95113 (Downtown area)",A cyber security start up located in Mountain View is looking to bring on a Principal Data Scientist and is willing to pay up $210k to find the right scientist!...,Principal Data Scientist,"$180,000 - $210,000 a year",60000.0
125,BioPhase Solutions,"San Francisco Bay Area, CA","Research Scientist, Gene Editing. Analyze, interpret, and present experimental data. We are currently looking for a Research Scientist to work for a growing Bay...","Research Scientist, Gene Editing",,60000.0
126,BOEING,"El Segundo, CA 90245","Skilled scientists and thinkers. Collects and compiles data for budget planning. El Segundo,California,United States....",IT System Administrator,,60000.0
127,Workbridge Associates,"Oakland, CA","4+ years experience in a Data Science or Data Analyst role. You will work with a Lead Data Scientist and Head of Data Science to analyze customer behavior,...",Senior Data Scientist (Business Intelligence),"$120,000 - $140,000 a year",60000.0
128,Glocomms,"San Francisco, CA",I'm working with a company who is looking to add a Data Scientist to their growing team. They're located in San Francisco and recently received another round of...,Senior Data Scientist,"$140,000 - $165,000 a year",60000.0
129,Inscopix,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",The raw brain imaging data sets generated on the Inscopix platform are large and complex and require several stages of processing to extract neuronal “spikes”...,Manager of Engineering Systems,,60000.0
130,J.D. Power,"Westlake Village, CA","Our scientists, Ph.D. Demonstrated experience with a Multi-Dimensional Online Analytical Processing data cube system (e.g....",Finance Director - IT / HR / FP & A,,60000.0
131,Walmart eCommerce,"San Bruno, CA 94066","Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and...","Senior Manager, Partner Operationa",,60000.0
132,Genentech,"South San Francisco, CA",Significant experience of drug discovery or development including the evaluation and interpretation of scientific and clinical data....,Safety Science Leader (MD),,60000.0
133,Syapse,"San Francisco, CA","Experience with information management, data modeling, and data flows. The company was founded by Stanford-trained scientists and is backed by Ascension...","Project Manager, Professional Services",,60000.0
134,Walmart eCommerce,"Sunnyvale, CA",Experience working with large data sets and distributed computing tools. Experience working with a NoSQL data store like MongoDB or Cassandra....,Senior Software Engineer,,60000.0
135,Altair Engineering,"Livermore, CA","Draws concise logical conclusions based on data from experiments/testing. Altair ProductDesign is a global, multi-disciplinary product development consultancy...",Electrical Engineer,,60000.0
136,Ondawa Group,"San Diego, CA 92101","Data pipelines at scale, and real-time processingMachine learning and Data Scientist support:. Big Data cluster, workflows, and applications:....","Big Data Developer - Java, Hadoop",,60000.0
137,"Pantar Solutions, Inc.","Woodland Hills, CA 91367","As a data engineer, you will be responsible for designing and implementing new GCP-based data solutions – new data processing, data sets and systems to support...",Big Data Engineer,,60000.0
138,Ascent Services Group,"South San Francisco, CA 94080","Bench Scientist II. Regularly present data/ strategy to scientists and management, in internal and external venues, as well as publish in peer-reviewed journals...",Bench Scientist II,,60000.0
139,Ascent Services Group,"Emeryville, CA 94608","Communicates technical data to project teams. Assist in laboratory scheduling, data organization & deployment of personnel and equipment for maximal efficiency....",Sr. Associate Scientist-Analytical Development,,60000.0
140,Catapult Sports,"San Francisco, CA","The successful candidate will report to the Vice President of Sports Performance, helping coaches, sports scientists and performance analysts turn objective...",Sports Performance Manager (West),,60000.0
141,University of California San Francisco,"San Francisco, CA","Extensive knowledge of study design criteria and data collection strategies. Knowledge of data standards best practices in research and healthcare, scientific,...","Clinical Research Management, Analyst",,60000.0
142,General Electric,"San Ramon, CA 94583","Architects, Data Scientists, Businesses & Product Managers. Be an expert in core data structures as well as algorithms and has the ability to implement them...",Sr Software Engineer,,60000.0
143,MSD,"South San Francisco, CA",Independent and self-motivated scientist. Conduct experiments and generate data. We are looking for an outstanding and highly motivated scientist with an...,Associate Principal Scientist – Metabolic Disease (Insulin Resistance/Obesity),,60000.0
144,The Aerospace Corporation,"El Segundo, CA 90245","Proficiency in writing Basic or C programs to manage data. Participate in quantitative software engineering studies with an emphasis on modeling, simulation,... read more",Software Process and Systems Simulation Engineer,,60000.0
145,Celgene Corporation,"San Diego, CA 92121","Experience evaluating and deploying technologies in genome, transcriptome, and proteome characterization to clinical samples and data, and demonstrated success... read more","Principal Scientist, Translational Biology (Protein Homeostasis)",,60000.0
146,General Electric,"San Francisco, CA 94102 (Downtown area)","You will be working with world class data scientist, engineers, designers, and domain experts to support state-of-the-art AI and machine learning solutions... read more",Sr Software Engineer - DevOps,,60000.0
147,BOEING,"El Segundo, CA 90245","Skilled scientists and thinkers. Experience working with personnel and data from multiple engineering groups including, design, stress, mass properties,... read more",Senior Structural Analysis Engineer,,60000.0
148,Ondawa Group,"San Diego, CA 92101","Data pipelines at scale, and real-time processingMachine learning and Data Scientist support:. Big Data cluster, workflows, and applications:.... read more","Big Data Developer - Java, Hadoop",,60000.0
149,"Pantar Solutions, Inc.","Woodland Hills, CA 91367","As a data engineer, you will be responsible for designing and implementing new GCP-based data solutions – new data processing, data sets and systems to support... read more",Big Data Engineer,,60000.0
150,Wells Fargo,"Concord, CA","Reporting, analytics, Data modeling, Data Structures and Algorithms. This person will be a key contributor to the Artificial Intelligence/Machine Learning... read more",Analytic Manager 4,,60000.0
151,Ascent Services Group,"South San Francisco, CA 94080","Bench Scientist II. Regularly present data/ strategy to scientists and management, in internal and external venues, as well as publish in peer-reviewed journals... read more",Bench Scientist II,,60000.0
152,Altair Engineering,"Livermore, CA","Draws concise logical conclusions based on data from experiments/testing. Altair ProductDesign is a global, multi-disciplinary product development consultancy... read more",Electrical Engineer,,60000.0
