,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
1512,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1513,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1514,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1515,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1516,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1517,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1518,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1519,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1520,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing.... read more",Firmware Data Scientist,,80000.0
1521,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal... read more,"Data Scientist, Population and Survey Sciences",,80000.0
1522,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis.... read more",Sr. Data Scientist,,80000.0
1523,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies.... read more,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1524,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation.... read more","VF Corporation: Director, Digital Analytics",,80000.0
1525,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with... read more,"Lead Instructor, Principal Data Scientist",,80000.0
1526,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important... read more",Senior Data Scientist,,80000.0
1527,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning... read more",Remote Sensing Scientist,,80000.0
1528,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data... read more","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1529,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1530,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1531,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1532,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1533,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1534,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1535,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1536,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1537,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1538,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1539,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1540,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1541,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1542,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1543,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1544,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1545,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1546,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1547,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing.... read more",Firmware Data Scientist,,80000.0
1548,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal... read more,"Data Scientist, Population and Survey Sciences",,80000.0
1549,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis.... read more",Sr. Data Scientist,,80000.0
1550,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies.... read more,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1551,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation.... read more","VF Corporation: Director, Digital Analytics",,80000.0
1552,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with... read more,"Lead Instructor, Principal Data Scientist",,80000.0
1553,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important... read more",Senior Data Scientist,,80000.0
1554,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning... read more",Remote Sensing Scientist,,80000.0
1555,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data... read more","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1556,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
1557,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1558,Sigmaways,"Palo Alto, CA","Unsupervised feature learning, streaming data analysis, temporal data analytics, multi-modal and heterogeneous data analysis....",Sr. Data Scientist,,80000.0
1559,Coupang,"Mountain View, CA",The experimentation platform team at Coupang is looking for a Principal Data Scientist with a solid background in experimentation methodologies....,Sr. Principal Data Scientist (Experimentation Platform),,80000.0
1560,The North Face,"Alameda, CA","Inspire, manage and develop the team's data scientist. Manage agencies to help drive digital data innovation....","VF Corporation: Director, Digital Analytics",,80000.0
1561,Galvanize,"San Francisco, CA",Join us in building the world's hub for education in data science and data engineering. Our Data Science Instructors train technical professionals with...,"Lead Instructor, Principal Data Scientist",,80000.0
1562,Quantifind,"Menlo Park, CA","At Quantifind, we look to integrate large amounts of data from diverse data sources (structured financial data or unstructured social data) to drive important...",Senior Data Scientist,,80000.0
1563,Capella Space,"Palo Alto, CA","Capella is looking for an enthusiastic remote sensing data scientist with expertise in radar signal processing, electro-optical data analysis, machine learning...",Remote Sensing Scientist,,80000.0
1564,USC,"Los Angeles, CA","An innovative data core provides sophisticated data and analytic support – including research programmers, a statistician, system administrator, and a data...","Elizabeth Garrett Chair in Health Policy, Economics, & Law",,80000.0
1565,Facebook,"Menlo Park, CA",Experience manipulating data sets through statistical software (ex. You will enjoy working with one of the richest data sets in the world to combine attitudinal...,"Data Scientist, Population and Survey Sciences",,80000.0
1566,Fitbit,"San Francisco, CA 94105 (Financial District area)","Passion for data and data mining. Mine field data generated by Fitbit devices. Design, develop and build scripts to automate data processing....",Firmware Data Scientist,,80000.0
